# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1784861618706,ZONE,maf WARN → GOOD (IDLE OK)
1784861618707,ZONE,map GOOD → WARN (CHECK)
1784861618985,ZONE,maf GOOD → WARN (LOW)
1784861618985,ZONE,map WARN → GOOD (CRUISE OK)
1784861622744,GEAR,Estimated gear 1 → 2
1784861623017,ZONE,map GOOD → WARN (RISING)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1784861618706,929.0,1.0,92.0,,32.0,,15.613638674946158,10.446282672688113,12.0,7.1227277349892315,45.61363867494616,-1.9625597464382558,,14.104777992480704,,CLOSED LOOP
1784861618985,1611.0,0.0,92.0,,32.0,,15.226081530314316,10.164422931137684,12.0,7.045216306062863,45.22608153031432,-1.9999615349933106,,14.110096207969221,,CLOSED LOOP
1784861619263,1601.0,0.0,92.0,,32.0,,15.027817014885208,10.020230556280152,12.0,7.0055634029770415,45.02781701488521,-1.9576311683917689,,14.117246076486294,,CLOSED LOOP
1784861619535,1601.0,0.0,92.0,,32.0,,15.02022116897532,10.014706304709325,12.0,7.004044233795064,45.02022116897532,-1.8372562247688318,,14.126081930335078,,CLOSED LOOP
1784861619807,1610.0,0.0,92.0,,32.0,,15.203346710995648,10.147888517087743,12.0,7.04066934219913,45.203346710995646,-1.643635673261645,,14.136423752431792,,CLOSED LOOP
1784861620066,1628.0,1.0,92.0,,32.0,,15.57592267156343,10.418852852046129,12.0,7.115184534312686,45.57592267156343,-1.3844885542538177,,14.148060843880023,,CLOSED LOOP
1784861620318,1654.0,2.0,92.0,,32.0,,16.135363214571775,10.825718701506746,12.0,7.227072642914355,46.135363214571775,-1.070146245594168,,14.16075611664029,,CLOSED LOOP
1784861620572,1690.0,4.0,92.0,,32.0,,16.8777855839956,11.36566224290589,12.0,7.37555711679912,46.8777855839956,-0.7131405831644658,,14.174250923838253,,CLOSED LOOP
1784861620839,1734.0,6.0,92.0,,32.0,,17.7980370518745,12.034936037726908,12.0,7.5596074103749,47.7980370518745,-0.327704256129218,,14.188270329301416,1,CLOSED LOOP
1784861621102,1787.0,8.0,92.0,,32.0,,18.88973068044306,12.828895040322223,12.0,7.7779461360886115,48.88973068044306,0.07079660546732136,,14.202528708965485,1,CLOSED LOOP
1784861621379,1847.0,11.0,92.0,,32.0,,20.14528965020391,13.742028836511935,12.0,8.029057930040782,50.14528965020391,0.4664750298154863,,14.21673557003028,1,CLOSED LOOP
1784861621646,1915.0,14.0,92.0,,32.0,,21.55599984628678,14.767999888208568,12.0,8.311199969257355,51.55599984628678,0.8435565667719876,,14.230601469308723,1,CLOSED LOOP
1784861621925,1989.0,18.0,92.0,,32.0,,23.112070338123317,15.89968751863514,12.0,8.622414067624664,53.11207033812332,1.1870081654079474,,14.243843910191568,1,CLOSED LOOP
1784861622196,2071.0,21.0,92.0,,32.0,,24.802701332682513,17.129237332860008,12.0,8.960540266536503,54.80270133268252,1.483137494309992,,14.256193098086166,1,CLOSED LOOP
1784861622470,2158.0,25.0,92.0,,32.0,,26.616159129640714,18.448115730647793,12.0,9.323231825928143,56.616159129640714,1.7201388116249063,,14.267397437070962,1,CLOSED LOOP
1784861622743,2250.0,30.0,92.0,,32.0,,28.539857558267784,19.84716913328566,12.0,9.707971511653557,58.539857558267784,1.8885636227322506,,14.27722865577974,2,CLOSED LOOP
1784861623016,2347.0,34.0,92.0,,32.0,,30.560445330821786,21.316687513324936,12.0,10.112089066164357,60.560445330821786,1.9816973619084006,,14.285486458083549,2,CLOSED LOOP
1784861623271,2448.0,39.0,92.0,,32.0,,32.663898706180554,22.84647178631313,12.0,10.53277974123611,62.663898706180554,1.9958270808729142,,14.292002603819679,2,CLOSED LOOP

# dash_tiles
time_ms,tab,key,value
1784861623475,Dash,Coolant1,92.0
1784861623475,Dash,Coolant2,n/s
1784861623475,Dash,Battery,14.292002603819679
1784861623475,Dash,Intake,32.0
1784861623475,Dash,Ambient,n/s
1784861623475,Dash,Load,32.663898706180554
1784861623475,Dash,Throttle,22.84647178631313
1784861623475,Dash,STFT,1.9958270808729142
1784861623475,Dash,LTFT,n/s
1784861623475,Dash,MAF,10.53277974123611
1784861623475,Dash,MAP,62.663898706180554
1784861623475,Dash,Timing,12.0
1784861623475,Dash,FuelLoop,CLOSED LOOP
1784861623475,Dash,DTCs,2
1784861623475,Dash,HealthPct,100
